Reference;Planet name;Column 3
1468;Zomba;Zomba
335799;Zonglu;"Zongl&#252;"
14267;Zook;Zook
121594;Zubritsky;Zubritsky
12321;Zurakowski;Zurakowski
785;Zwetana;Zwetana
374710;`O`o;`O`o
14403;de;Machault
10970;de;Zeeuw
10971;van;Dishoeck
10667;van;Marxveldt
19235;van;Schurman
2413;van;de
10437;van;der
10443;van;der
12174;van;het
1920;Sarmiento;Sarmiento
5059;Saroma;Saroma
9179;Satchmo;Satchmo
3292;Sather;Sather
33621;Sathish;Sathish
121331;Savannahsalazar;Savannahsalazar
18944;Sawilliams;Sawilliams
24728;Scagell;Scagell
6480;Scarlatti;Scarlatti
49441;Scerbanenco;Scerbanenco
178243;Schaerding;Schaerding
95247;Schalansky;Schalansky
31729;Scharmen;Scharmen
22945;Schikowski;Schikowski
2308;Schilt;Schilt
37584;Schleiden;Schleiden
12694;Schleiermacher;Schleiermacher
12514;Schommer;Schommer
1235;Schorria;Schorria
11773;Schouten;Schouten
14728;Schuchardt;Schuchardt
3524;Schulz;Schulz
5704;Schumacher;Schumacher
15761;Schumi;Schumi
7580;Schwabhausen;Schwabhausen
2149;Schwambraniya;Schwambraniya
281764;Schwetzingen;Schwetzingen
278513;Schwope;Schwope
7334;Sciurus;Sciurus
144716;Scotttucker;Scotttucker
4705;Secchi;Secchi
5234;Sechenov;Sechenov
8130;Seeberg;Seeberg
25340;Segoves;Segoves
136666;Seidel;Seidel
18461;Seiichikanno;Seiichikanno
4893;Seitter;Seitter
16700;Seiwa;Seiwa
1913;Sekanina;Sekanina
14443;Sekinenomatsu;Sekinenomatsu
7725;Sel'vinskij;Sel'vinskij
315174;Sellek;Sellek
207687;Senckenberg;Senckenberg
3133;Sendai;Sendai
7980;Senkevich;Senkevich
56957;Seohideaki;Seohideaki
7173;Sepkoski;Sepkoski
34194;Serenajing;Serenajing
36235;Sergebaudo;Sergebaudo
11022;Serio;Serio
2691;Sersic;Sersic
86551;Seth;Seth
58622;Setoguchi;Setoguchi
7846;Setvak;"Setv&#225;k"
9716;Severina;Severina
24607;Sevnatu;Sevnatu
31944;Seyitherdem;Seyitherdem
21745;Shadfan;Shadfan
1648;Shajna;Shajna
5959;Shaklan;Shaklan
25372;Shanagarza;Shanagarza
30128;Shannonbunch;Shannonbunch
3832;Shapiro;Shapiro
5543;Sharaf;Sharaf
3027;Shavarsh;Shavarsh
34102;Shawnzhang;Shawnzhang
20296;Shayestorm;Shayestorm
4625;Shchedrin;Shchedrin
11450;Shearer;Shearer
18665;Sheenahayes;Sheenahayes
30211;Sheilah;Sheilah
29614;Sheller;Sheller
26551;Shenliangbo;Shenliangbo
2036;Sheragul;Sheragul
20098;Shibatagenji;Shibatagenji
17461;Shigosenger;Shigosenger
10561;Shimizumasahiro;Shimizumasahiro
2908;Shimoyama;Shimoyama
15910;Shinkamigoto;Shinkamigoto
21368;Shiodayama;Shiodayama
12326;Shirasaki;Shirasaki
10286;Shnollia;Shnollia
16599;Shorland;Shorland
2669;Shostakovich;Shostakovich
21703;Shravanimikk;Shravanimikk
25182;Siddhawan;Siddhawan
5375;Siedentopf;Siedentopf
208351;Sielmann;Sielmann
17737;Sigmundjahn;"Sigmundj&#228;hn"
308825;Siksika;Siksika
5710;Silentium;Silentium
22618;Silva;Nortica
168948;Silvestri;Silvestri
748;Simeisa;"Sime&#239;sa"
2141;Simferopol;Simferopol
32720;Simoeisios;Simoeisios
6860;Sims;Sims
21412;Sinchanban;Sinchanban
10698;Singer;Singer
6125;Singto;Singto
16014;Sinha;Sinha
3391;Sinon;Sinon
2042;Sitarski;Sitarski
101331;Sjostrom;"Sj&#246;str&#246;m"
3243;Skytel;Skytel
11325;Slavicky;"Slavick&#253;"
31232;Slavonice;Slavonice
2047;Smetana;Smetana
228135;Sodnik;Sodnik
3490;Solc;"&#352;olc"
5367;Sollenberger;Sollenberger
2455;Somville;Somville
3821;Sonet;Sonet
25164;Sonomastate;Sonomastate
3993;Sorm;"&#352;orm"
55477;Soroban;Soroban
121756;Sotomejias;Sotomejias
48424;Souchay;Souchay
51772;Sparker;Sparker
2579;Spartacus;Spartacus
86196;Specula;Specula
28800;Speth;Speth
896;Sphinx;Sphinx
25930;Spielberg;Spielberg
1564;Srbija;Srbija
93256;Stach;Stach
3875;Staehle;Staehle
12340;Stalle;Stalle
3440;Stampfer;Stampfer
10131;Stanga;Stanga
7632;Stanislav;Stanislav
23044;Starodub;Starodub
22003;Startek;Startek
7373;Stashis;Stashis
288961;Stasysgirenas;"Stasysgir&#279;nas"
24147;Stefanmuller;Stefanmuller
9121;Stefanovalentini;Stefanovalentini
17597;Stefanzweig;Stefanzweig
30488;Steinlechner;Steinlechner
4604;Stekarstrom;Stekarstrom
24916;Stelzhamer;Stelzhamer
11004;Stenmark;Stenmark
16596;Stephenstrauss;Stephenstrauss
10596;Stevensimpson;Stevensimpson
22856;Stevenzeiher;Stevenzeiher
201204;Stevewilliams;Stevewilliams
3794;Sthenelos;Sthenelos
7127;Stifter;Stifter
24646;Stober;Stober
